no,corpCode,corpName,modifyDate
0,00434003,다코,20170630
1,00434456,일산약품,20170630
2,00430964,굿앤엘에스,20170630
3,00432403,한라판지,20170630
4,00388953,크레디피아제이십오차유동화전문회사,20170630
5,00179984,연방건설산업,20170630
6,00420143,브룩스피알아이오토메이션잉크,20170630
7,00401111,매경아이비아이,20170630
8,00435534,캐드뱅크,20170630
9,00430186,엠와이오피삼차유동화전문유한회사,20170630
10,00430201,엠와이오피이차유동화전문유한회사,20170630
11,00430210,엠와이오피일차유동화전문유한회사,20170630
12,00430229,포스미디어,20170630
13,00140432,축복할렐루야,20170630
14,00426208,한국전자화학,20170630
15,00433262,ConnachtCapitalMarketInvestmentLtd.,20170630
16,00433749,선진아이티,20170630
17,00433785,팀스코리아,20170630
18,00196079,에넥스하이테크,20170630
19,00435048,세이스텝바이스텝혼합형펀드,20170630
20,00435057,유리알파헷지채권혼합형펀드,20170630
21,00108843,한기술정보통신,20170630
22,00443232,다움종합건설,20170630
23,00248293,한국애치슨,20170630
24,00455662,고은상사,20170630
25,00149318,조흥종합건설,20170630
26,00451347,유니즈유통,20170630
27,00415105,창대화장품,20170630
28,00420824,문화종합건설,20170630
29,00389439,한국종합미디어,20170630
30,00454016,아이펜텍,20170630
31,00452072,대홍염공,20170630
32,00437602,지오항공여행사,20170630
33,00365518,헤이아니타코리아,20170630
34,00246967,태산산업개발,20170630
35,00445559,군포종합시장,20170630
36,00444657,기우,20170630
37,00448936,라시도,20170630
38,00405658,예전미디어,20170630
39,00410818,세미가,20170630
40,00416061,대닉스,20170630
41,00448909,인포핸드,20170630
42,00445407,지현개발,20170630
43,00421647,한국부동산신탁제일차유동화전문유한회사,20170630
44,00421425,ISCCaymanLtd.,20170630
45,00423265,연산,20170630
46,00423292,씨케이알유동화전문유한회사,20170630
47,00420602,디에스피,20170630
48,00307505,LOMBARDKOREAILIMITED,20170630
49,00218229,승진씨앤씨,20170630
50,00241397,우신투자자문,20170630
51,00421896,외환카드제오차유동화전문유한회사,20170630
52,00365712,태연,20170630
53,00388616,글로벌금강제일차유동화전문유한회사,20170630
54,00230407,글로벌렌탈,20170630
55,00423566,뤼미에르에셋,20170630
56,00423274,바사라엔터테인먼트,20170630
57,00419688,대백유동화전문유한회사,20170630
58,00419712,아이키키,20170630
59,00414665,진명씨앤씨,20170630
60,00421869,한경핫벤처,20170630
61,00421957,우리부동산제일차유동화전문유한회사,20170630
62,00255442,영진상운,20170630
63,00427517,한국토지신탁제오차유동화전문유한회사,20170630
64,00376152,다드림커뮤니케이션,20170630
65,00382241,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD,20170630
66,00431501,싱가포르개발은행서울지점,20170630
67,00434270,삼성인덱스프리미엄30혼합형뮤추얼펀드,20170630
68,00434289,KTB혼합형펀드,20170630
69,00434298,KTB플러스찬스혼합형펀드,20170630
70,00434313,KTB포트폴리오스타혼합형펀드,20170630
71,00434322,KTB에버스타혼합형펀드,20170630
72,00429463,나노이앤씨,20170630
73,00429515,지산엔터프라이즈,20170630
74,00432175,유아이에스코리아,20170630
75,00387033,트리플에스유동화전문유한회사,20170630
76,00384045,크레디피아제이십일차유동화전문유한회사,20170630
77,00431608,싱가포르개발은행,20170630
78,00431705,엘지팩토링제일차유동화전문유한회사,20170630
79,00430256,이피에스뱅크,20170630
80,00431167,이라이프네트워크,20170630
81,00432315,덕성,20170630
82,00413134,타오건설,20170630
83,00435376,장원코리아,20170630
84,00110909,대신통상,20170630
85,00245995,삼광제지공업,20170630
86,00220695,서울교육,20170630
87,00211794,보성패션,20170630
88,00454496,넥스탑,20170630
89,00455592,마니빌,20170630
90,00370796,제이엘코프,20170630
91,00199401,컴마을,20170630
92,00369596,삼신크리에이션,20170630
93,00210078,호한통상,20170630
94,00363398,케이엠티,20170630
95,00110042,대백가구,20170630
96,00364324,청빛산업개발,20170630
97,00248017,삼양전자,20170630
98,00452179,숭민코리아유통,20170630
99,00413754,유오티앤씨,20170630
100,00343163,한라스페코중공업,20170630
101,00452513,알본,20170630
102,00435978,상일디지털,20170630
103,00368153,서전어패럴,20170630
104,00455149,웰비스트랜스,20170630
105,00249946,한국키엔스,20170630
106,00110839,대신생명보험,20170630
107,00293798,대성메디테크,20170630
108,00113119,대한알루미늄공업,20170630
109,00424389,남성엠케이,20170630
110,00424486,씨엠액텍,20170630
111,00224734,한국부동산신탁,20170630
112,00197713,주은산업,20170630
113,00421948,신엘지프라이머리제이차유동화전문유한회사,20170630
114,00422381,데코제일차유동화전문유한회사,20170630
115,00350446,뉴스테이트삼차모기지유동화전문유한회사,20170630
116,00396642,엘지수퍼센터,20170630
117,00425449,아이클릭세븐,20170630
118,00425458,월드인코레스,20170630
119,00425333,코리아픽시컴,20170630
120,00424617,산은부동산제사차유동화전문유한회사,20170630
121,00424006,글로벌자이언트시스템,20170630
122,00424051,신클레어,20170630
123,00403599,에이에스피기업구조조정전문,20170630
124,00425519,Marubeni-ItochuSteelInc.,20170630
125,00224585,신한,20170630
126,00429524,우리모아제이차유동화전문유한회사,20170630
127,00429533,글로벌사모안정혼합형펀드,20170630
128,00432722,파워외환카드제팔차유동화전문유한회사,20170630
129,00432786,파워외환카드제오차유동화전문유한회사,20170630
130,00429728,영퓨처,20170630
131,00428668,코로볼틴펀드리미티드,20170630
132,00430751,대창크랑크,20170630
133,00385372,허츠제일차유동화전문유한회사,20170630
134,00431680,새암교육,20170630
135,00386308,반지종합상가,20170630
136,00256450,동서산업건설(가칭),20170630
137,00290816,대우종합기계(가칭),20170630
138,00291532,대우조선공업(가칭),20170630
139,00127990,삼일상호저축은행,20170630
140,00431565,케이디에스에스,20170630
141,00399959,비젼케이파트너스,20170630
142,00430238,리버랜드,20170630
143,00263034,동양선재,20170630
144,00205298,춘천미도파,20170630
145,00431042,거버너스M&A사모펀드3호,20170630
146,00348715,아이앤비골드문브이에이치,20170630
147,00447964,체리미디어,20170630
148,00448361,경원하이텍,20170630
149,00185851,중원화학,20170630
150,00445735,나크나인,20170630
151,00385770,동남해상관광호텔,20170630
152,00319245,한성선박,20170630
153,00126502,삼성콘크리트공업,20170630
154,00363440,엠알더블유테크노로지,20170630
155,00445522,제이에이치홀딩스,20170630
156,00320302,동연산업,20170630
157,00444958,우양주택건설,20170630
158,00441836,해진하우징,20170630
159,00445203,대림전자,20170630
160,00445629,효헌산업,20170630
161,00454052,우림산업개발,20170630
162,00454414,에이스하이테크,20170630
163,00196857,해표푸드서비스,20170630
164,00413383,에프씨산업,20170630
165,00225098,극동뉴메릭,20170630
166,00410304,서울드림랜드,20170630
167,00310998,한국미라이공업,20170630
168,00415114,21세기화장품,20170630
169,00451000,광명산업,20170630
170,00369985,다음솔루션,20170630
171,00199809,이성화학,20170630
172,00371670,정우조명,20170630
173,00401430,모바일웰컴,20170630
174,00247027,푸른건설,20170630
175,00144058,월다크,20170630
176,00416867,길도건업,20170630
177,00456263,원일스포지움,20170630
178,00436339,용인자원,20170630
179,00120748,마산강관,20170630
180,00386724,세창철강공업,20170630
181,00255390,재무와정보,20170630
182,00455547,대양중공업,20170630
183,00233398,이에이지씨,20170630
184,00405065,페타코페트로륨,20170630
185,00425537,MarubeniCorporation,20170630
186,00424158,캐피탈라인,20170630
187,00100920,건설증권,20170630
188,00370167,일진전자통신,20170630
189,00409131,오픈솔루션,20170630
190,00424194,AMERICAORIENTALGROUP,20170630
191,00364713,mvp창업투자,20170630
192,00408901,라이져,20170630
193,00161170,한라시멘트,20170630
194,00423557,한국알리안츠화재해상보험,20170630
195,00307444,코리아벌처투자,20170630
196,00370468,티에스케이지,20170630
197,00424547,메리츠투자자문,20170630
198,00424219,텔레닉스,20170630
199,00424185,유니텍워터시스템즈,20170630
200,00424556,거륜씨앤씨,20170630
201,00121631,문화,20170630
202,00424866,모비도미,20170630
